particle_id,particle_type,vx,vy,vz,px,py,pz,q,nhits
4503668346847232,-211,0.00727761,0.00104224,-60.9044,-0.0223202,0.157653,3.58656,-1,16
4503737066323968,211,0.00727761,0.00104224,-60.9044,0.687677,-0.199468,1.79152,1,11
4503805785800704,211,0.00727761,0.00104224,-60.9044,0.290892,-0.419337,0.581035,1,11
4504011944230912,-211,0.00727761,0.00104224,-60.9044,2.90243,4.46769,4.60364,-1,12
4504080663707648,2212,0.00727761,0.00104224,-60.9044,10.4344,8.2128,14.4043,1,10
4504218102661120,-321,0.00727761,0.00104224,-60.9044,0.488172,-0.508654,-0.824871,-1,13
4504286822137856,-211,0.00727761,0.00104224,-60.9044,0.33537,0.19179,0.578878,-1,14
4504355541614592,-211,0.00727761,0.00104224,-60.9044,0.404785,0.257119,0.989555,-1,12
4504424261091328,-211,0.00727761,0.00104224,-60.9044,-0.428149,0.112274,0.458321,-1,6
4504492980568064,321,0.00727761,0.00104224,-60.9044,-2.56641,-0.347702,1.55795,1,14
4504699138998272,-211,0.00727761,0.00104224,-60.9044,-0.328177,-0.370639,-0.00854917,-1,5
4504767858475008,211,0.00727761,0.00104224,-60.9044,-0.370179,-0.0600743,-0.805723,1,10
4504836577951744,211,0.00727761,0.00104224,-60.9044,-0.203723,0.135951,-0.742304,1,13
4504905297428480,-211,0.00727761,0.00104224,-60.9044,-0.0837591,-0.298685,-0.667855,-1,6
4504974016905216,-321,0.00727761,0.00104224,-60.9044,-4.80826,0.565603,25.4769,-1,12
4505042736381952,211,0.00727761,0.00104224,-60.9044,-2.44105,0.31313,13.4935,1,2
4505111455858688,211,0.00727761,0.00104224,-60.9044,-2.74959,-1.57647,25.1845,1,10
4505180175335424,2212,0.00727761,0.00104224,-60.9044,0.123291,-0.445608,1.41866,1,12
4505317614288896,-211,0.00727761,0.00104224,-60.9044,0.644965,0.875916,-1.46648,-1,9
4505386333765632,211,0.00727761,0.00104224,-60.9044,1.07849,-1.043,-1.11913,1,13
4505455053242368,-211,0.00727761,0.00104224,-60.9044,0.0499629,0.348976,-0.427903,-1,11
4505523772719104,2212,0.00727761,0.00104224,-60.9044,0.188418,-0.0488494,-1.59924,1,12
4505592492195840,-2212,0.00727761,0.00104224,-60.9044,0.413438,-0.195509,-1.36433,-1,14
4505661211672576,2212,0.00727761,0.00104224,-60.9044,-1.03974,-0.345042,-6.56911,1,13
4505729931149312,211,0.00727761,0.00104224,-60.9044,-0.339274,0.321221,-2.3499,1,16
4505798650626048,-211,0.00727761,0.00104224,-60.9044,-0.812083,0.629009,-7.4517,-1,16
4505867370102784,211,0.00727761,0.00104224,-60.9044,-0.776086,-0.30529,-4.47216,1,1
4505936089579520,211,0.00727761,0.00104224,-60.9044,-0.203923,0.0582053,-2.4484,1,11
4506004809056256,-211,0.00727761,0.00104224,-60.9044,-0.769915,0.997226,12.978,-1,9
4506073528532992,211,0.00727761,0.00104224,-60.9044,0.129454,-0.0524141,3.33069,1,0
4506485845393408,2212,0.00727761,0.00104224,-60.9044,1.91184,0.256194,12.5335,1,6
4506554564870144,-2212,0.00727761,0.00104224,-60.9044,0.369405,-0.934594,10.2369,-1,4
4506623284346880,211,0.00727761,0.00104224,-60.9044,-0.648081,-0.714482,6.21158,1,12
4506692003823616,-211,0.00727761,0.00104224,-60.9044,0.0746316,-0.0710154,2.25641,-1,0
4506760723300352,-211,0.00727761,0.00104224,-60.9044,0.106351,-0.146554,1.03308,-1,8
4506829442777088,211,0.00727761,0.00104224,-60.9044,-0.55066,-1.44238,8.2041,1,13
